epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.485,3.38958,4.05001,4.08853,0.00086,0.25,0.01327,0.00279,3.60111,4.66358,4.09959,0.000412326,0.000412326,0.000412326
2,381.991,2.99199,3.6037,3.64244,0.00214,0.45502,0.01367,0.00482,3.1747,4.3859,3.62653,0.000801636,0.000801636,0.000801636
3,566.219,2.70409,3.31011,3.26912,0.3839,0.16728,0.11434,0.03579,2.78786,4.40959,3.2017,0.00116345,0.00116345,0.00116345
4,749.393,2.47277,3.12424,2.98837,0.80737,0.13235,0.08096,0.02721,2.69403,11.4989,3.21447,0.00112625,0.00112625,0.00112625
5,925.821,2.33277,3.02875,2.8552,0.19349,0.16949,0.12721,0.04206,2.57119,3.87037,2.98211,0.001085,0.001085,0.001085
6,1102.78,2.19425,2.8765,2.69408,0.41602,0.1636,0.16346,0.06559,2.107,3.84545,2.62903,0.00104375,0.00104375,0.00104375
7,1304.13,2.10334,2.71514,2.58617,0.57337,0.23897,0.17841,0.05023,2.27683,4.03529,2.7679,0.0010025,0.0010025,0.0010025
8,1521.62,1.97835,2.56087,2.47427,0.58932,0.29034,0.32865,0.12944,2.0627,3.01992,2.5277,0.00096125,0.00096125,0.00096125
9,1753.5,1.91527,2.47565,2.41554,0.65299,0.32794,0.44523,0.17327,1.92223,2.553,2.37296,0.00092,0.00092,0.00092
10,1970.56,1.87048,2.41784,2.37017,0.66556,0.41152,0.49586,0.24083,1.91695,2.44367,2.31181,0.00087875,0.00087875,0.00087875
11,2183.47,1.83667,2.37072,2.33222,0.69323,0.50704,0.5925,0.29939,1.81273,2.26387,2.27838,0.0008375,0.0008375,0.0008375
12,2398.73,1.79258,2.29556,2.27968,0.56257,0.6147,0.52768,0.22537,1.88089,2.31437,2.32399,0.00079625,0.00079625,0.00079625
13,2612.58,1.76878,2.23365,2.23965,0.66079,0.45356,0.61737,0.3061,1.75975,2.19011,2.20519,0.000755,0.000755,0.000755
14,2822.2,1.74439,2.14525,2.22859,0.75183,0.41089,0.58773,0.27096,1.89075,2.19177,2.32487,0.00071375,0.00071375,0.00071375
15,3032.19,1.72111,2.13883,2.1929,0.73416,0.52274,0.71609,0.36971,1.70646,2.14037,2.17466,0.0006725,0.0006725,0.0006725
16,3241.24,1.65904,2.09803,2.15761,0.74573,0.54914,0.7422,0.36682,1.66054,1.85333,2.11058,0.00063125,0.00063125,0.00063125
17,3455.94,1.6514,2.02424,2.12911,0.68655,0.55267,0.60666,0.34285,1.57018,1.84429,2.05552,0.00059,0.00059,0.00059
18,3665.15,1.65501,2.04983,2.11614,0.83516,0.64812,0.7813,0.39453,1.63303,1.79892,2.04782,0.00054875,0.00054875,0.00054875
19,3873.55,1.63312,1.9488,2.09849,0.57337,0.70315,0.6174,0.33273,1.60716,1.79094,2.1005,0.0005075,0.0005075,0.0005075
20,4083.96,1.60317,1.92047,2.07752,0.57215,0.72779,0.80022,0.44814,1.54804,1.56453,2.01347,0.00046625,0.00046625,0.00046625
21,4293.04,1.65654,2.00442,2.1385,0.65439,0.75437,0.78499,0.37798,1.61957,1.77077,2.04028,0.000425,0.000425,0.000425
22,4501.02,1.6054,1.91967,2.09454,0.68938,0.73529,0.81969,0.44277,1.5238,1.6855,1.92675,0.00038375,0.00038375,0.00038375
23,4706.49,1.60298,1.85755,2.08751,0.57271,0.875,0.80373,0.41463,1.69796,1.60412,2.05655,0.0003425,0.0003425,0.0003425
24,4910.97,1.57849,1.84387,2.07179,0.63434,0.87346,0.78975,0.42921,1.5845,1.52814,1.97452,0.00030125,0.00030125,0.00030125
25,5121.07,1.58561,1.82384,2.06391,0.53959,0.825,0.72486,0.36413,1.55001,1.6619,1.96229,0.00026,0.00026,0.00026
26,5355.72,1.57197,1.77916,2.05548,0.59191,0.875,0.8232,0.42762,1.60556,1.47946,2.02412,0.00021875,0.00021875,0.00021875
27,5567.42,1.55112,1.74304,2.04314,0.73041,0.82884,0.839,0.43737,1.648,1.43998,2.00246,0.0001775,0.0001775,0.0001775
28,5774.5,1.50709,1.72267,2.00528,0.60249,0.8054,0.81147,0.42495,1.52976,1.54402,1.94391,0.00013625,0.00013625,0.00013625
29,5983.36,1.5045,1.70729,2.00127,0.66021,0.80239,0.81969,0.42996,1.59247,1.47505,1.95324,9.5e-05,9.5e-05,9.5e-05
30,6199.59,1.49707,1.6989,1.98303,0.5658,0.77917,0.82239,0.45008,1.55034,1.47356,1.91295,5.375e-05,5.375e-05,5.375e-05
